prompt_sha,prompt_tokens,window_start,region_tokens,spearman_importance,max_abs_diff,repeat_noise_max_abs,selected_window,selected_stable,selected_overlap,jaccard,only_window,only_stable,warm_vs_cold_stable_overlap,restored_tokens,spearman_warm_vs_cold,max_abs_warm_vs_cold,warm_cold_selected_overlap_c0
0277784b9b8132d5,41984,0,41984,1.0,0.0,0.0,8416,8416,8416,1.0,0,0,8384,40960,0.9998,0.0004726862534880638,8384
0277784b9b8132d5,41984,1024,40960,0.9564,0.009342861361801624,0.0,8192,8192,7136,0.7716,1056,1056,8160,40960,0.9998,0.0004726862534880638,8384
0277784b9b8132d5,41984,4096,37888,0.9504,0.00881926715373993,0.0,7584,7584,6528,0.7556,1056,1056,7520,40960,0.9998,0.0004726862534880638,8384
0277784b9b8132d5,41984,16384,25600,0.9016,0.00742441788315773,0.0,5120,5120,4384,0.7486,736,736,5056,40960,0.9998,0.0004726862534880638,8384
0277784b9b8132d5,41984,30720,11264,0.8494,0.008211975917220116,0.0,2272,2272,1856,0.6905,416,416,2272,40960,0.9998,0.0004726862534880638,8384
