cached_tokens,path,region_tokens,selected,tail_covered,jaccard_current_vs_stable,dense_repeat_max_abs,path_repeat_max_abs,seconds,next_top1_agree,next_top10_overlap,next_kl,forced_top1_agree_rate,forced_top10_overlap_mean,forced_kl_mean,forced_kl_max
0,current,41984,8416,1,1.0,0.0,0.0,76.4,1,5,0.000150001811562106,0.9062,5.203,0.023191284388303757,0.6852735280990601
0,stable,41984,8416,1,1.0,0.0,0.0,75.9,1,5,0.000150001811562106,0.9062,5.203,0.023191284388303757,0.6852735280990601
1024,current,40960,8192,1,0.7716,0.0,0.0,81.5,1,5,5.658856389345601e-05,0.9062,5.375,0.01747102476656437,0.5597842931747437
1024,stable,40960,8192,1,0.7716,0.0,0.0,84.6,1,6,7.682397699682042e-05,0.9062,5.672,0.02186967432498932,0.8213813304901123
30720,current,11264,2272,1,0.6905,0.0,0.0,285.1,1,6,0.00011957154492847621,0.9219,6.359,0.001161552732810378,0.010369380936026573
30720,stable,11264,2272,1,0.6905,0.0,0.0,284.1,1,5,0.00024640848278068006,0.9219,5.906,0.0017702591139823198,0.012219542637467384
