run,slice_tokens,cell,budget_pct,recovery,probes,probe_ttft_min_s,probe_ttft_p50_s,probe_ttft_p90_s,probe_ttft_max_s,probes_over_1s,turn_ttft_s,server_git_sha
initial,0,off,,off,24,0.65,0.67,0.673,0.674,0,23.817,77b5d0ab1dd8e7794d9649a2a94830ebc5e6e0d9
initial,0,capped,5.0,on,24,0.653,0.678,3.099,12.302,3,23.788,77b5d0ab1dd8e7794d9649a2a94830ebc5e6e0d9
initial,0,uncapped,100.0,on,24,0.655,0.71,13.847,15.08,6,23.794,77b5d0ab1dd8e7794d9649a2a94830ebc5e6e0d9
slice-sweep,1024,uncapped,100.0,on,24,0.509,0.837,1.217,4.508,7,23.81,5024dce54be15fb602af33a38ba4e93b541a1313
slice-sweep,512,uncapped,100.0,on,24,0.511,0.889,1.166,1.299,9,23.858,5024dce54be15fb602af33a38ba4e93b541a1313
slice-sweep,256,uncapped,100.0,on,24,0.631,1.068,1.366,1.495,13,23.832,5024dce54be15fb602af33a38ba4e93b541a1313
confirm,512,off,,off,24,0.635,0.654,0.662,0.664,0,23.82,5024dce54be15fb602af33a38ba4e93b541a1313
confirm,512,capped,5.0,on,24,0.537,0.656,0.692,2.592,2,23.802,5024dce54be15fb602af33a38ba4e93b541a1313
confirm,512,uncapped,100.0,on,24,0.508,0.892,1.167,1.305,9,23.806,5024dce54be15fb602af33a38ba4e93b541a1313
