source_dir,model,task,finish,output_tokens,cycles,tokens_per_cycle,accepted,drafted,accept_pct,depth_detail,backbone_ms,mtp_head_ms,sample_ms,cache_ms
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,14,6,2.33,6,8,75.0,"d1=4/4,d2=1/3,d3=1/1",112.4,4.6,0.1,0.2
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,parked,34,24,1.42,8,15,53.3,"d1=4/11,d2=3/3,d3=1/1",606.6,11.9,0.2,1.7
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,43,21,2.05,21,32,65.6,"d1=12/18,d2=8/12,d3=1/2",627.0,16.3,0.2,1.6
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,46,24,1.92,20,26,76.9,"d1=16/21,d2=2/3,d3=2/2",596.1,13.0,0.2,1.7
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,47,17,2.76,28,29,96.6,"d1=14/14,d2=12/13,d3=2/2",471.8,13.1,0.1,1.0
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,59,21,2.81,37,37,100.0,"d1=18/18,d2=17/17,d3=2/2",487.6,25.3,0.2,1.2
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,61,24,2.54,35,40,87.5,"d1=18/21,d2=16/17,d3=1/2",661.8,19.5,0.3,1.6
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,67,25,2.68,41,44,93.2,"d1=20/22,d2=19/20,d3=2/2",767.1,20.1,0.3,1.6
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,77,30,2.57,47,53,88.7,"d1=24/27,d2=20/23,d3=3/3",713.2,41.7,0.3,2.1
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,77,28,2.75,48,51,94.1,"d1=25/25,d2=21/24,d3=2/2",659.9,34.0,0.3,1.8
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,82,28,2.93,53,59,89.8,"d1=22/25,d2=20/21,d3=11/13",894.4,51.5,0.3,2.0
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,89,32,2.78,57,59,96.6,"d1=28/29,d2=26/27,d3=3/3",762.9,42.3,0.3,0.4
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,90,31,2.9,57,57,100.0,"d1=28/28,d2=27/27,d3=2/2",735.6,42.1,0.3,1.8
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,103,31,3.32,72,73,98.6,"d1=28/28,d2=26/27,d3=18/18",1072.0,56.4,0.4,2.0
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,104,36,2.89,66,67,98.5,"d1=33/33,d2=31/32,d3=2/2",971.1,32.7,0.4,2.2
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,115,53,2.17,61,85,71.8,"d1=36/50,d2=25/35,d3=0/0",1564.8,49.8,0.5,4.1
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,199,82,2.43,115,141,81.6,"d1=63/79,d2=43/51,d3=9/11",2550.8,77.6,0.8,5.9
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,242,83,2.92,158,180,87.8,"d1=68/80,d2=58/67,d3=32/33",2770.0,148.3,0.8,5.7
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,242,110,2.2,130,168,77.4,"d1=87/107,d2=42/58,d3=1/3",3373.2,84.0,1.2,8.1
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,294,109,2.7,185,223,83.0,"d1=92/106,d2=76/92,d3=17/25",3630.5,145.8,1.1,8.1
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,345,127,2.72,217,245,88.6,"d1=115/124,d2=96/114,d3=6/7",4065.4,124.1,1.3,8.9
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,416,129,3.22,286,314,91.1,"d1=119/126,d2=104/118,d3=63/70",4515.3,256.1,1.3,8.8
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,420,120,3.5,299,320,93.4,"d1=112/117,d2=97/107,d3=90/96",4073.1,283.0,1.1,8.1
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,442,142,3.11,301,339,88.8,"d1=130/139,d2=106/130,d3=65/70",4606.0,269.8,1.3,9.9
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,444,164,2.71,279,326,85.6,"d1=145/161,d2=122/144,d3=12/21",5332.7,179.4,1.6,11.7
dec-qwen-C,Qwen3.6-35B-A3B,root-cause,stop,579,180,3.22,397,431,92.1,"d1=165/177,d2=144/161,d3=88/93",5801.2,316.8,1.8,12.2
