arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens
recovery-end,turn,0,8275,0,8275,8.775,7.5,0,,24,8.775,8c048521bbc196be,0,8192,0.0,0.0,2,0,0,0,0,8275
recovery-end,turn,1,16409,4096,12313,25.016,24.07,0,,24,25.017,ea4e50ce6feb7ca7,4096,16384,47.601056,0.678267,10,3,1,1,3,12313
recovery-end,turn,2,24584,4096,20488,34.258,33.29,0,,24,34.259,8c048521bbc196be,4096,24576,96.730001,0.693659,18,6,2,1,6,20488
recovery-end,dense-probe,2,24584,4096,20488,102.953,101.91,0,,24,102.955,ea4e50ce6feb7ca7,4096,24576,146.896077,0.529539,24,9,3,1,9,20488
pcsr,turn,0,8275,0,8275,8.75,7.49,0,,24,8.751,8c048521bbc196be,0,8192,0.0,0.0,2,0,0,0,0,8275
pcsr,turn,1,16409,4096,12313,25.515,24.57,0,,24,25.515,8c048521bbc196be,4096,16384,48.116837,0.681379,10,3,1,1,3,12313
pcsr,turn,2,24584,12288,12296,28.274,27.28,0,,24,28.274,e941415744ef39c5,12288,24576,98.279235,0.733968,18,6,2,3,6,12296
pcsr,dense-probe,2,24584,20480,4104,19.927,18.89,0,,24,19.928,ea4e50ce6feb7ca7,20480,24576,133.258523,0.705702,22,8,3,5,8,12296
