arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens
pcsr,turn,0,16428,0,16428,16.17,14.84,0,,24,16.17,e941415744ef39c5,0,16384,0.0,0.0,2,0,0,0,0,16428
pcsr,turn,1,32722,12288,20434,34.881,33.85,0,,24,34.881,8c048521bbc196be,12288,28672,48.607691,0.555548,10,3,1,3,3,20434
pcsr,turn,2,48940,20480,28460,48.208,47.13,0,,24,48.208,8c048521bbc196be,20480,45056,100.829152,0.590635,18,6,2,5,6,28460
pcsr,turn,3,65256,28672,36584,63.03,61.89,0,,24,63.03,8c048521bbc196be,28672,61440,156.766102,0.583309,25,9,2,7,9,36584
pcsr,turn,4,81610,36864,44746,78.993,77.78,0,,24,78.994,e941415744ef39c5,36864,77824,216.113623,0.564624,33,12,3,9,12,44746
pcsr,dense-probe,4,81610,45056,36554,254.021,252.68,0,,24,254.021,41f280af0a7e6332,45056,77824,278.921368,0.415192,40,15,5,11,15,44746
